rowid,type,start,end,party,how,executive_id,executive_id_label
1,prez,1789-04-30,1793-03-04,no party,election,1,George Washington
2,prez,1793-03-04,1797-03-04,no party,election,1,George Washington
3,viceprez,1789-04-21,1793-03-04,Federalist,election,2,John Adams
4,viceprez,1793-03-04,1797-03-04,Federalist,election,2,John Adams
5,prez,1797-03-04,1801-03-04,Federalist,election,2,John Adams
6,viceprez,1797-03-04,1801-03-04,Democratic-Republican,election,3,Thomas Jefferson
7,prez,1801-03-04,1805-03-04,Democratic-Republican,election,3,Thomas Jefferson
8,prez,1805-03-04,1809-03-04,Democratic-Republican,election,3,Thomas Jefferson
9,viceprez,1801-03-04,1805-03-04,Democratic-Republican,election,4,Aaron Burr
10,viceprez,1805-03-04,1809-03-04,Democratic-Republican,election,5,George Clinton
11,viceprez,1809-03-04,1812-04-20,Democratic-Republican,election,5,George Clinton
12,viceprez,1813-03-04,1814-11-23,Democratic-Republican,election,6,Elbridge Gerry
13,prez,1809-03-04,1813-03-04,Democratic-Republican,election,7,James Madison
14,prez,1813-03-04,1817-03-04,Democratic-Republican,election,7,James Madison
15,viceprez,1817-03-04,1821-03-05,Democratic-Republican,election,8,Daniel Tompkins
16,viceprez,1821-03-05,1825-03-04,Democratic-Republican,election,8,Daniel Tompkins
17,prez,1817-03-04,1821-03-05,Democratic-Republican,election,9,James Monroe
18,prez,1821-03-05,1825-03-04,Democratic-Republican,election,9,James Monroe
19,prez,1825-03-04,1829-03-04,Democratic-Republican,election,10,John Adams
20,viceprez,1825-03-04,1829-03-04,Democratic-Republican,election,11,John Calhoun
21,viceprez,1829-03-04,1832-12-28,Democratic,election,11,John Calhoun
22,prez,1829-03-04,1833-03-04,Democratic,election,12,Andrew Jackson
23,prez,1833-03-04,1837-03-04,Democratic,election,12,Andrew Jackson
24,viceprez,1837-03-04,1841-03-04,Democratic,election,13,Richard Johnson
25,viceprez,1833-03-04,1837-03-04,Democratic,election,14,Martin Van Buren
26,prez,1837-03-04,1841-03-04,Democratic,election,14,Martin Van Buren
27,prez,1841-03-04,1841-04-04,Whig,election,15,William Harrison
28,viceprez,1841-03-04,1841-04-04,Whig,election,16,John Tyler
29,prez,1841-04-04,1845-03-04,Whig,succession,16,John Tyler
30,viceprez,1845-03-04,1849-03-04,Democratic,election,17,George Dallas
31,prez,1845-03-04,1849-03-04,Democratic,election,18,James Polk
32,prez,1849-03-04,1850-07-09,Whig,election,19,Zachary Taylor
33,viceprez,1849-03-04,1850-07-09,Whig,election,20,Millard Fillmore
34,prez,1850-07-09,1853-03-04,Whig,succession,20,Millard Fillmore
35,viceprez,1853-03-04,1853-04-18,Democratic,election,21,William King
36,prez,1853-03-04,1857-03-04,Democratic,election,22,Franklin Pierce
37,viceprez,1857-03-04,1861-03-04,Democratic,election,23,John Breckinridge
38,prez,1857-03-04,1861-03-04,Democratic,election,24,James Buchanan
39,viceprez,1861-03-04,1865-03-04,Republican,election,25,Hannibal Hamlin
40,prez,1861-03-04,1865-03-04,Republican,election,26,Abraham Lincoln
41,prez,1865-03-04,1865-04-15,Republican,election,26,Abraham Lincoln
42,viceprez,1865-03-04,1865-04-15,Democratic,election,27,Andrew Johnson
43,prez,1865-04-15,1869-03-04,Democratic,succession,27,Andrew Johnson
44,viceprez,1869-03-04,1873-03-04,Republican,election,28,Schuyler Colfax
45,viceprez,1873-03-04,1875-11-22,Republican,election,29,Henry Wilson
46,prez,1869-03-04,1873-03-04,Republican,election,30,Ulysses Grant
47,prez,1873-03-04,1877-03-04,Republican,election,30,Ulysses Grant
48,viceprez,1877-03-04,1881-03-04,Republican,election,31,William Wheeler
49,prez,1877-03-04,1881-03-04,Republican,election,32,Rutherford Hayes
50,prez,1881-03-04,1881-09-19,Republican,election,33,James Garfield
51,viceprez,1881-03-04,1881-09-19,Republican,election,34,Chester Arthur
52,prez,1881-09-19,1885-03-04,Republican,succession,34,Chester Arthur
53,viceprez,1885-03-04,1885-11-25,Democratic,election,35,Thomas Hendricks
54,viceprez,1889-03-04,1893-03-04,Republican,election,36,Levi Morton
55,prez,1889-03-04,1893-03-04,Republican,election,37,Benjamin Harrison
56,viceprez,1893-03-04,1897-03-04,Democratic,election,38,Adlai Stevenson
57,prez,1885-03-04,1889-03-04,Democratic,election,39,Grover Cleveland
58,prez,1893-03-04,1897-03-04,Democratic,election,39,Grover Cleveland
59,viceprez,1897-03-04,1899-11-21,Republican,election,40,Garret Hobart
60,prez,1897-03-04,1901-03-04,Republican,election,41,William McKinley
61,prez,1901-03-04,1901-09-14,Republican,election,41,William McKinley
62,viceprez,1905-03-04,1909-03-04,Republican,election,42,Charles Fairbanks
63,viceprez,1901-03-04,1901-09-14,Republican,election,43,Theodore Roosevelt
64,prez,1901-09-14,1905-03-04,Republican,succession,43,Theodore Roosevelt
65,prez,1905-03-04,1909-03-04,Republican,election,43,Theodore Roosevelt
66,viceprez,1909-03-04,1912-10-30,Republican,election,44,James Sherman
67,prez,1909-03-04,1913-03-04,Republican,election,45,William Taft
68,viceprez,1913-03-04,1917-03-04,Democratic,election,46,Thomas Marshall
69,viceprez,1917-03-04,1921-03-04,Democratic,election,46,Thomas Marshall
70,prez,1913-03-04,1917-03-04,Democratic,election,47,Woodrow Wilson
71,prez,1917-03-04,1921-03-04,Democratic,election,47,Woodrow Wilson
72,prez,1921-03-04,1923-08-02,Republican,election,48,Warren Harding
73,viceprez,1925-03-04,1929-03-04,Republican,election,49,Charles Dawes
74,viceprez,1921-03-04,1923-08-02,Republican,election,50,Calvin Coolidge
75,prez,1923-08-02,1925-03-04,Republican,succession,50,Calvin Coolidge
76,prez,1925-03-04,1929-03-04,Republican,election,50,Calvin Coolidge
77,viceprez,1929-03-04,1933-03-04,Republican,election,51,Charles Curtis
78,prez,1929-03-04,1933-03-04,Republican,election,52,Herbert Hoover
79,viceprez,1933-03-04,1937-01-20,Democratic,election,53,John Garner
80,viceprez,1937-01-20,1941-01-20,Democratic,election,53,John Garner
81,viceprez,1941-01-20,1945-01-20,Democratic,election,54,Henry Wallace
82,prez,1933-03-04,1937-01-20,Democratic,election,55,Franklin Roosevelt
83,prez,1937-01-20,1941-01-20,Democratic,election,55,Franklin Roosevelt
84,prez,1941-01-20,1945-01-20,Democratic,election,55,Franklin Roosevelt
85,prez,1945-01-20,1945-04-12,Democratic,election,55,Franklin Roosevelt
86,viceprez,1949-01-20,1953-01-20,Democratic,election,56,Alben Barkley
87,viceprez,1945-01-20,1945-04-12,Democratic,election,57,Harry Truman
88,prez,1945-04-12,1949-01-20,Democratic,succession,57,Harry Truman
89,prez,1949-01-20,1953-01-20,Democratic,election,57,Harry Truman
90,prez,1953-01-20,1957-01-20,Republican,election,58,Dwight Eisenhower
91,prez,1957-01-20,1961-01-20,Republican,election,58,Dwight Eisenhower
92,prez,1961-01-20,1963-11-22,Democratic,election,59,John Kennedy
93,viceprez,1965-01-20,1969-01-20,Democratic,election,60,Hubert Humphrey
94,viceprez,1961-01-20,1963-11-22,Democratic,election,61,Lyndon Johnson
95,prez,1963-11-22,1965-01-20,Democratic,succession,61,Lyndon Johnson
96,prez,1965-01-20,1969-01-20,Democratic,election,61,Lyndon Johnson
97,viceprez,1969-01-20,1973-01-20,Republican,election,62,Spiro Agnew
98,viceprez,1973-01-20,1973-10-10,Republican,election,62,Spiro Agnew
99,viceprez,1953-01-20,1957-01-20,Republican,election,63,Richard Nixon
100,viceprez,1957-01-20,1961-01-20,Republican,election,63,Richard Nixon
101,prez,1969-01-20,1973-01-20,Republican,election,63,Richard Nixon
102,prez,1973-01-20,1974-08-09,Republican,election,63,Richard Nixon
103,viceprez,1973-12-06,1974-08-09,Republican,appointment,64,Gerald Ford
104,prez,1974-08-09,1977-01-20,Republican,succession,64,Gerald Ford
105,viceprez,1974-12-19,1977-01-20,Republican,appointment,65,Nelson Rockefeller
106,viceprez,1977-01-20,1981-01-20,Democratic,election,66,Walter Mondale
107,prez,1977-01-20,1981-01-20,Democratic,election,67,James Carter
108,prez,1981-01-20,1985-01-20,Republican,election,68,Ronald Reagan
109,prez,1985-01-20,1989-01-20,Republican,election,68,Ronald Reagan
110,viceprez,1989-01-20,1993-01-20,Republican,election,69,James Quayle
111,viceprez,1981-01-20,1985-01-20,Republican,election,70,George Bush
112,viceprez,1985-01-20,1989-01-20,Republican,election,70,George Bush
113,prez,1989-01-20,1993-01-20,Republican,election,70,George Bush
114,viceprez,1993-01-20,1997-01-20,Democrat,election,71,Albert Gore
115,viceprez,1997-01-20,2001-01-20,Democrat,election,71,Albert Gore
116,prez,1993-01-20,1997-01-20,Democrat,election,72,William Clinton
117,prez,1997-01-20,2001-01-20,Democrat,election,72,William Clinton
118,viceprez,2001-01-20,2005-01-20,Republican,election,73,Richard Cheney
119,viceprez,2005-01-20,2009-01-20,Republican,election,73,Richard Cheney
120,prez,2001-01-20,2005-01-20,Republican,election,74,George Bush
121,prez,2005-01-20,2009-01-20,Republican,election,74,George Bush
122,viceprez,2009-01-20,2013-01-20,Democrat,election,75,Joseph Biden
123,viceprez,2013-01-20,2017-01-20,Democrat,election,75,Joseph Biden
124,prez,2021-01-20,2025-01-20,Democrat,election,75,Joseph Biden
125,prez,2009-01-20,2013-01-20,Democrat,election,76,Barack Obama
126,prez,2013-01-20,2017-01-20,Democrat,election,76,Barack Obama
127,viceprez,2017-01-20,2021-01-20,Republican,election,77,Mike Pence
128,prez,2017-01-20,2021-01-20,Republican,election,78,Donald Trump
129,viceprez,2021-01-20,2025-01-20,Democrat,election,79,Kamala Harris
