id,name,id_bioguide,id_govtrack,id_icpsr_prez,name_first,name_last,bio_birthday,bio_gender,id_icpsr,name_suffix,name_middle,id_thomas,name_nickname,id_lis,id_opensecrets,id_votesmart,id_fec,id_cspan,id_wikipedia,id_wikidata,id_google_entity_id,id_ballotpedia,id_house_history,id_maplight,name_official_full
1,George Washington,W000178,411351,99869,George,Washington,1732-02-22,M,,,,,,,,,,,,,,,,,
2,John Adams,A000039,400699,99870,John,Adams,1735-10-19,M,,,,,,,,,,,,,,,,,
3,Thomas Jefferson,J000069,405974,99871,Thomas,Jefferson,1743-04-13,M,,,,,,,,,,,,,,,,,
4,Aaron Burr,B001133,402077,,Aaron,Burr,1756-02-06,M,1302,Jr.,,,,,,,,,,,,,,,
5,George Clinton,C000527,412587,,George,Clinton,1739-07-26,M,,,,,,,,,,,,,,,,,
6,Elbridge Gerry,G000139,404507,,Elbridge,Gerry,1744-07-17,M,3541,,,,,,,,,,,,,,,,
7,James Madison,M000043,407071,99872,James,Madison,1751-03-16,M,5903,,,,,,,,,,,,,,,,
8,Daniel Tompkins,T000306,412588,,Daniel,Tompkins,1774-06-21,M,,,D.,,,,,,,,,,,,,,
9,James Monroe,M000858,407829,99873,James,Monroe,1758-04-28,M,6594,,,,,,,,,,,,,,,,
10,John Adams,A000041,400702,99874,John,Adams,1767-07-11,M,34,,Quincy,,,,,,,,,,,,,,
11,John Calhoun,C000044,402205,,John,Calhoun,1782-03-18,M,1418,,Caldwell,,,,,,,,,,,,,,
12,Andrew Jackson,J000005,405913,99875,Andrew,Jackson,1767-03-15,M,4843,,,,,,,,,,,,,,,,
13,Richard Johnson,J000170,406067,,Richard,Johnson,1780-10-17,M,4988,,Mentor,,,,,,,,,,,,,,
14,Martin Van Buren,V000009,411074,99876,Martin,Van Buren,1782-12-05,M,9595,,,,,,,,,,,,,,,,
15,William Harrison,H000279,405153,99877,William,Harrison,1773-02-09,M,4138,,Henry,,,,,,,,,,,,,,
16,John Tyler,T000450,411018,99878,John,Tyler,1790-03-29,M,9542,,,,,,,,,,,,,,,,
17,George Dallas,D000011,403154,,George,Dallas,1792-07-10,M,2305,,Mifflin,,,,,,,,,,,,,,
18,James Polk,P000409,408802,99879,James,Polk,1795-11-02,M,7507,,Knox,,,,,,,,,,,,,,
19,Zachary Taylor,,412344,99880,Zachary,Taylor,1784-11-24,M,,,,,,,,,,,,,,,,,
20,Millard Fillmore,F000115,404072,99881,Millard,Fillmore,1800-01-07,M,3140,,,,,,,,,,,,,,,,
21,William King,K000217,406377,,William,King,1786-04-07,M,5275,,Rufus de Vane,,,,,,,,,,,,,,
22,Franklin Pierce,P000333,408730,99882,Franklin,Pierce,1804-11-23,M,7435,,,,,,,,,,,,,,,,
23,John Breckinridge,B000789,401746,99883,John,Breckinridge,1821-01-16,M,995,,Cabell,,,,,,,,,,,,,,
24,James Buchanan,B001005,401954,99883,James,Buchanan,1791-04-23,M,1186,,,,,,,,,,,,,,,,
25,Hannibal Hamlin,H000121,405003,,Hannibal,Hamlin,1809-08-27,M,4001,,,,,,,,,,,,,,,,
26,Abraham Lincoln,L000313,406807,99884,Abraham,Lincoln,1809-02-12,M,5666,,,,,,,,,,,,,,,,
27,Andrew Johnson,J000116,406017,99885,Andrew,Johnson,1808-12-29,M,4940,,,,,,,,,,,,,,,,
28,Schuyler Colfax,C000626,402755,,Schuyler,Colfax,1823-03-23,M,1938,,,,,,,,,,,,,,,,
29,Henry Wilson,W000585,411739,,Henry,Wilson,1812-02-16,M,10225,,,,,,,,,,,,,,,,
30,Ulysses Grant,,412350,99886,Ulysses,Grant,1822-04-27,M,,,Simpson,,,,,,,,,,,,,,
31,William Wheeler,W000341,411503,,William,Wheeler,1819-06-30,M,9995,,Almon,,,,,,,,,,,,,,
32,Rutherford Hayes,H000393,405261,99887,Rutherford,Hayes,1822-10-04,M,4232,,Birchard,,,,,,,,,,,,,,
33,James Garfield,G000063,404436,99888,James,Garfield,1831-11-19,M,3473,,Abram,,,,,,,,,,,,,,
34,Chester Arthur,A000303,400945,99889,Chester,Arthur,1829-10-05,M,,,Alan,,,,,,,,,,,,,,
35,Thomas Hendricks,H000493,405356,,Thomas,Hendricks,1819-09-07,M,4319,,Andrews,,,,,,,,,,,,,,
36,Levi Morton,M001018,407985,,Levi,Morton,1824-05-16,M,6742,,Parsons,,,,,,,,,,,,,,
37,Benjamin Harrison,H000263,405139,99891,Benjamin,Harrison,1833-08-20,M,4124,,,,,,,,,,,,,,,,
38,Adlai Stevenson,S000889,410350,,Adlai,Stevenson,1835-10-23,M,8918,,Ewing,,,,,,,,,,,,,,
39,Grover Cleveland,,412354,99890,Grover,Cleveland,1837-03-18,M,,,,,,,,,,,,,,,,,
40,Garret Hobart,H000660,412589,,Garret,Hobart,1844-06-03,M,,,Augustus,,,,,,,,,,,,,,
41,William McKinley,M000522,407515,99892,William,McKinley,1843-01-29,M,6312,Jr.,,,,,,,,,,,,,,,
42,Charles Fairbanks,F000003,403965,,Charles,Fairbanks,1852-05-11,M,3046,,Warren,,,,,,,,,,,,,,
