rowid,legislator_id,type,state,start,end,class,party,district,how,party_affiliations,url,caucus,address,phone,fax,contact_form,office,state_rank,rss_url,end-type
1,B000226,sen,DE,1789-03-04,1793-03-03,2,Anti-Administration,,,,,,,,,,,,,
2,B000546,rep,VA,1789-03-04,1791-03-03,,,9,,,,,,,,,,,,
3,B001086,rep,SC,1789-03-04,1791-03-03,,,2,,,,,,,,,,,,
4,C000187,rep,MD,1789-03-04,1791-03-03,,,6,,,,,,,,,,,,
5,C000538,rep,PA,1789-03-04,1791-03-03,,,-1,,,,,,,,,,,,
6,C000710,rep,MD,1789-03-04,1791-03-03,,,3,,,,,,,,,,,,
7,D000013,sen,MA,1789-03-04,1791-03-03,1,Pro-Administration,,,,,,,,,,,,,
8,E000155,sen,NJ,1789-03-04,1791-03-03,1,Pro-Administration,,,,,,,,,,,,,
9,F000100,sen,GA,1789-03-04,1793-03-03,2,Anti-Administration,,,,,,,,,,,,,
10,F000224,rep,NY,1789-03-04,1791-03-03,,,1,,,,,,,,,,,,
11,G000012,rep,MD,1789-03-04,1791-03-03,,,5,,,,,,,,,,,,
12,G000403,sen,VA,1789-03-04,1791-03-03,1,Anti-Administration,,,,,,,,,,,,,
13,G000500,rep,MA,1789-03-04,1791-03-03,,,8,,,,,,,,,,,,
14,H000368,sen,NC,1789-03-04,1795-03-03,3,Pro-Administration,,,,,,,,,,,,,
15,H000995,rep,CT,1789-03-04,1791-03-03,,,-1,,,,,,,,,,,,
16,I000053,sen,SC,1789-03-04,1795-03-03,3,Pro-Administration,,,,,,,,,,,,,
17,J000182,sen,CT,1789-03-04,1791-12-31,3,Pro-Administration,,,,,,,,,,,,,
18,J000198,sen,NC,1789-03-04,1793-03-03,2,Pro-Administration,,,,,,,,,,,,,
19,L000201,sen,VA,1789-03-04,1793-03-03,2,Anti-Administration,,,,,,,,,,,,,
20,M000031,sen,PA,1789-03-04,1791-03-03,1,Anti-Administration,,,,,,,,,,,,,
21,M000234,rep,GA,1789-03-04,1791-03-03,,,3,,,,,,,,,,,,
22,M000985,sen,PA,1789-03-04,1795-03-03,3,Pro-Administration,,,,,,,,,,,,,
23,P000092,rep,MA,1789-03-04,1791-03-03,,,5,,,,,,,,,,,,
24,P000102,sen,NJ,1789-03-04,1791-03-03,2,Pro-Administration,,,,,,,,,,,,,
25,S000624,rep,MD,1789-03-04,1791-03-03,,,4,,,,,,,,,,,,
26,S000961,rep,MD,1789-03-04,1791-03-03,,,1,,,,,,,,,,,,
27,V000053,rep,NY,1789-03-04,1791-03-03,,,6,,,,,,,,,,,,
28,W000783,rep,PA,1789-03-04,1791-03-03,,,-1,,,,,,,,,,,,
29,D000324,sen,NJ,1790-01-01,1793-03-03,2,Pro-Administration,,,,,,,,,,,,,
30,W000059,sen,VA,1790-01-01,1791-03-03,1,Pro-Administration,,,,,,,,,,,,,
31,A000307,rep,NC,1789-03-04,1791-03-03,,,1,,,,,,,,,,,,
32,A000307,rep,NC,1791-10-24,1793-03-03,,,3,,,,,,,,,,,,
33,B000167,rep,SC,1791-10-24,1793-03-03,,,2,,,,,,,,,,,,
34,B001133,sen,NY,1791-10-24,1797-03-03,1,Republican,,,,,,,,,,,,,
35,C000009,sen,MA,1791-10-24,1797-03-03,1,Federalist,,,,,,,,,,,,,
36,C000185,sen,MD,1789-03-04,1791-03-03,1,Pro-Administration,,,,,,,,,,,,,
37,C000185,sen,MD,1791-10-24,1793-03-03,1,,,,,,,,,,,,,,
38,E000147,sen,CT,1789-03-04,1791-03-03,1,Pro-Administration,,,,,,,,,,,,,
39,E000147,sen,CT,1791-10-24,1797-03-03,1,Federalist,,,,,,,,,,,,,
40,G000139,rep,MA,1789-03-04,1791-03-03,,,3,,,,,,,,,,,,
41,G000139,rep,MA,1791-10-24,1793-03-03,,,3,,,,,,,,,,,,
42,H000916,rep,SC,1789-03-04,1791-03-03,,,3,,,,,,,,,,,,
43,H000916,rep,SC,1791-10-24,1793-03-03,,,3,,,,,,,,,,,,
44,J000036,rep,PA,1791-10-24,1793-03-03,,,3,,,,,,,,,,,,
45,K000158,rep,MD,1791-10-24,1793-03-03,,,1,,,,,,,,,,,,
46,R000091,sen,DE,1789-03-04,1791-03-03,1,Pro-Administration,,,,,,,,,,,,,
47,R000091,sen,DE,1791-10-24,1793-12-31,1,,,,,,,,,,,,,,
48,R000350,sen,VT,1791-10-24,1796-10-15,1,Anti-Administration,,,,,,,,,,,,,
49,S000140,rep,NY,1791-10-24,1793-03-03,,,4,,,,,,,,,,,,
50,S000242,rep,MD,1789-03-04,1791-03-03,,,2,,,,,,,,,,,,
51,S000242,rep,MD,1791-10-24,1793-03-03,,,2,,,,,,,,,,,,
52,S000340,rep,MD,1791-10-24,1793-03-03,,,6,,,,,,,,,,,,
53,S000349,rep,CT,1789-03-04,1791-03-03,,Pro-Administration,-1,,,,,,,,,,,,
54,S000349,sen,CT,1791-10-24,1793-12-31,3,Pro-Administration,,,,,,,,,,,,,
55,S000412,rep,NY,1789-03-04,1791-03-03,,,5,,,,,,,,,,,,
56,S000412,rep,NY,1791-10-24,1793-03-03,,,5,,,,,,,,,,,,
57,S000832,rep,NC,1789-03-04,1791-03-03,,,4,,,,,,,,,,,,
58,S000832,rep,NC,1791-10-24,1793-03-03,,,1,,,,,,,,,,,,
59,S000866,rep,MD,1791-10-24,1793-03-03,,,4,,,,,,,,,,,,
60,S001047,rep,CT,1789-03-04,1791-03-03,,,-1,,,,,,,,,,,,
61,S001047,rep,CT,1791-10-24,1793-03-03,,,-1,,,,,,,,,,,,
62,T000403,rep,SC,1789-03-04,1791-03-03,,,5,,,,,,,,,,,,
63,T000403,rep,SC,1791-10-24,1793-03-03,,,5,,,,,,,,,,,,
64,W000216,rep,GA,1791-10-24,1793-03-03,,,1,,,,,,,,,,,,
65,W000352,rep,VA,1789-03-04,1791-03-03,,,1,,,,,,,,,,,,
66,W000352,rep,VA,1791-10-24,1793-03-03,,,1,,,,,,,,,,,,
67,W000551,rep,NC,1789-03-04,1791-03-03,,Federalist,2,,,,,,,,,,,,
68,W000551,rep,NC,1791-10-24,1793-03-03,,Federalist,4,,,,,,,,,,,,
69,W000560,rep,GA,1791-10-24,1793-03-03,,,3,,,,,,,,,,,,
70,E000075,sen,KY,1792-01-01,1795-03-03,3,Anti-Administration,,,,,,,,,,,,,
71,P000473,sen,MD,1793-01-10,1796-10-14,1,Federalist,,,,,,,,,,,,,
72,A000280,rep,PA,1793-12-02,1795-03-03,,,-1,,,,,,,,,,,,
73,B000282,rep,NJ,1793-12-02,1795-03-03,,,-1,,,,,,,,,,,,
74,B000661,rep,NJ,1789-03-04,1791-03-03,,,-1,,,,,,,,,,,,
75,B000661,rep,NJ,1791-10-24,1793-03-03,,,-1,,,,,,,,,,,,
76,B000661,rep,NJ,1793-12-02,1795-03-03,,,-1,,,,,,,,,,,,
77,B000671,rep,MA,1791-10-24,1793-03-03,,,5,,,,,,,,,,,,
