id,name,id_bioguide,id_govtrack,id_icpsr,id_wikipedia,id_wikidata,id_google_entity_id,name_first,name_last,bio_birthday,bio_gender,id_house_history,name_middle,name_nickname,id_ballotpedia,name_suffix,id_bioguide_previous,id_house_history_alternate,other_names,id_thomas,id_cspan,id_votesmart,id_lis,name_official_full,id_opensecrets,id_fec,id_maplight,leadership_roles,family
A000001,Fred Aandahl,A000001,400664,1,Fred G. Aandahl,Q882579,kg:/m/01grlf,Fred,Aandahl,1897-04-09,M,8247,George,,,,,,,,,,,,,,,,
A000002,Watkins Abbitt,A000002,400665,2,Watkins Abbitt,Q2552662,kg:/m/02lhv3,Watkins,Abbitt,21/05/1908,M,8249,Moorman,,,,,,,,,,,,,,,,
A000003,Joel Abbott,A000003,400668,5,Joel Abbot (politician),Q1519100,kg:/m/0f6gbs,Joel,Abbott,1776-03-17,M,8250,,,,,,,,,,,,,,,,,
A000004,Amos Abbott,A000004,400666,3,Amos Abbott,Q474216,kg:/m/02lhx9,Amos,Abbott,1786-09-10,M,8251,,,,,,,,,,,,,,,,,
A000005,Jo Abbott,A000005,400667,4,Joseph Abbott (Texas politician),Q1706400,kg:/m/0f6jdp,Jo,Abbott,1840-01-15,M,8253,,Joseph,,,,,,,,,,,,,,,
A000006,Joseph Abbott,A000006,400669,6,Joseph Carter Abbott,Q1763440,kg:/m/02klbm,Joseph,Abbott,1825-07-15,M,,Carter,,,,,,,,,,,,,,,,
A000007,Josiah Abbott,A000007,400670,7,Josiah Gardner Abbott,Q6869444,kg:/m/02lhzl,Josiah,Abbott,1814-11-01,M,8256,Gardner,,,,,,,,,,,,,,,,
A000008,Nehemiah Abbott,A000008,400671,8,Nehemiah Abbott,Q1974497,kg:/m/02lj0q,Nehemiah,Abbott,1804-03-29,M,8257,,,,,,,,,,,,,,,,,
A000009,James Abdnor,A000009,400672,14000,James Abdnor,Q614868,kg:/m/03vwqw,James,Abdnor,13/02/1923,M,8259,,,,,,,,1,,,,,,,,,
A000010,Hazel Abel,A000010,400673,9,Hazel Abel,Q175085,kg:/m/08hxjn,Hazel,Abel,1888-07-10,F,8261,Hempel,,,,,,,,,,,,,,,,
A000011,Homer Abele,A000011,400674,10568,Pete Abele,Q7171818,kg:/m/03q9hb,Homer,Abele,21/11/1916,M,8263,E.,,,,,,,,,,,,,,,,
A000012,James Abercrombie,A000012,400675,10,James Abercrombie (congressman),Q1679917,kg:/m/08t3mf,James,Abercrombie,,M,8264,,,,,,,,,,,,,,,,,
A000013,John Abercrombie,A000013,400676,11,John Abercrombie (congressman),Q1702161,kg:/m/0f6w_j,John,Abercrombie,1866-05-17,M,8266,William,,,,,,,,,,,,,,,,
A000014,Neil Abercrombie,A000014,400001,15245,Neil Abercrombie,Q469689,kg:/m/0255rj,Neil,Abercrombie,26/06/1938,M,8268,,,,,,,,2,,26827,,,N00007665,"[""H6HI01121""]",,,
A000015,Charles Abernethy,A000015,400677,12,Charles Laban Abernethy,Q1065248,kg:/m/04gpqm,Charles,Abernethy,1872-03-18,M,8270,Laban,,,,,,,,,,,,,,,,
A000016,Thomas Abernethy,A000016,400678,13,Thomas Abernethy (politician),Q612202,kg:/m/0f6yyl,Thomas,Abernethy,16/05/1903,M,8272,Gerstle,,,,,,,,,,,,,,,,
A000017,James Abourezk,A000017,400679,13000,James Abourezk,Q1366620,kg:/m/03zkdz,James,Abourezk,24/02/1931,M,8274,George,,,,,,,1268,,,,,,,,,
A000018,Bella Abzug,A000018,400680,13001,Bella Abzug,Q464724,kg:/m/02dqgj,Bella,Abzug,24/07/1920,F,8276,Savitzky,,,,,,,3,,,,,,,,,
A000019,Ernest Acheson,A000019,400681,14,Ernest F. Acheson,Q5393043,kg:/m/0f7191,Ernest,Acheson,1855-09-19,M,8278,Francis,,,,,,,,,,,,,,,,
A000020,Ephraim Acker,A000020,400682,15,Ephraim Leister Acker,Q5382300,kg:/m/0kt5_d,Ephraim,Acker,1827-01-11,M,8279,Leister,,,,,,,,,,,,,,,,
A000021,Ernest Ackerman,A000021,400683,16,Ernest Robinson Ackerman,Q1356495,kg:/m/02ryq4l,Ernest,Ackerman,1863-06-17,M,8281,Robinson,,,,,,,,,,,,,,,,
A000022,Gary Ackerman,A000022,400003,15000,Gary Ackerman,Q972029,kg:/m/03rhdq,Gary,Ackerman,19/11/1942,M,8283,L.,,,,,,,4,1002061,26970,,Gary L. Ackerman,N00001143,"[""H4NY07011""]",,,
A000023,Joseph Acklen,A000023,400684,17,Joseph H. Acklen,Q1707149,kg:/m/02rtmmt,Joseph,Acklen,1850-05-20,M,8285,Hayes,,,,,,,,,,,,,,,,
A000024,Edwin Adair,A000024,400685,18,E. Ross Adair,Q1273564,kg:/m/02rkfks,Edwin,Adair,14/12/1907,M,8287,,Ross,,,,,,,,,,,,,,,
A000025,Jackson Adair,A000025,400686,19,J. Leroy Adair,Q6106352,kg:/m/02rkb10,Jackson,Adair,1887-02-23,M,8288,Leroy,,,,,,,,,,,,,,,,
A000026,John Adair,A000026,400687,20,John Adair,Q11595,kg:/m/05d76r,John,Adair,1757-01-09,M,8290,,,,,,,,,,,,,,,,,
A000027,John Adair,A000027,400688,21,John A. M. Adair,Q776226,kg:/m/02rkgmg,John,Adair,1864-12-22,M,8291,Alfred McDowell,,,,,,,,,,,,,,,,
A000028,Alva Adams,A000028,400689,22,Alva B. Adams,Q742525,kg:/m/050h4d,Alva,Adams,1875-10-29,M,,Blanchard,,,,,,,,,,,,,,,,
A000030,Benjamin Adams,A000030,400691,24,Benjamin Adams (politician),Q817371,kg:/m/0gswk0,Benjamin,Adams,1764-12-16,M,8294,,,,,,,,,,,,,,,,,
A000031,Brockman Adams,A000031,400692,10700,Brock Adams,Q357718,kg:/m/03vw3c,Brockman,Adams,13/01/1927,M,8296,,Brock,,,,,,5,,,S180,,,,,,
A000032,Charles Adams,A000032,400693,25,Charles Francis Adams Sr.,Q75174,kg:/m/01zxw2,Charles,Adams,1807-08-18,M,8298,Francis,,,,,,,,,,,,,,,,
A000033,Charles Adams,A000033,400694,26,Charles H. Adams (New York politician),Q3460936,kg:/m/0269s2j,Charles,Adams,1824-04-10,M,8300,Henry,,,,,,,,,,,,,,,,
A000034,George Adams,A000034,400695,27,George E. Adams,Q5538700,kg:/m/02rk9m8,George,Adams,1840-06-18,M,8301,Everett,,,,,,,,,,,,,,,,
A000035,George Adams,A000035,400696,28,George Madison Adams,Q1264473,kg:/m/02rhgt0,George,Adams,1837-12-20,M,8303,Madison,,,,,,,,,,,,,,,,
