id,legislator_id,address,suite,city,state,zip,latitude,longitude,phone,fax,building,hours
A000055-cullman,A000055,205 4th Ave. NE,Suite 104,Cullman,AL,35055,34.181059,-86.840631,256-734-6043,256-737-0885,,
A000055-gadsden,A000055,600 Broad St.,Suite 107,Gadsden,AL,35901,34.01421000000001,-86.006846,256-546-0201,256-546-8778,,
A000055-jasper,A000055,1710 Alabama Ave.,247,Jasper,AL,35501,33.83438,-87.274935,205-221-2310,205-221-9035,Carl Elliott Building,
A000055-tuscumbia,A000055,1011 George Wallace Blvd.,Suite 146,Tuscumbia,AL,35674,34.7412348,-87.6794142,256-381-3450,256-381-7659,,
A000369-elko,A000369,905 Railroad St.,Suite 104 D,Elko,NV,89801,40.8355439,-115.7586349,775-777-7705,775-753-9984,,
A000369-reno,A000369,5310 Kietzke Ln.,Suite 103,Reno,NV,89511,39.4715058,-119.791273,775-686-5760,775-686-5711,,
A000370-charlotte,A000370,801 E. Morehead St.,Suite 150,Charlotte,NC,28202,35.215055,-80.8452162,704-344-9950,704-344-9971,,M-F 9-6pm
A000371-san_bernardino,A000371,685 E. Carnegie Dr.,Suite 100,San Bernardino,CA,92408,34.068627,-117.270925,909-890-4445,909-890-9643,,
A000372-augusta,A000372,2743 Perimeter Pkwy,Suite 225,Augusta,GA,30909,33.4875735,-82.08466659999999,706-228-1980,706-228-1954,Bldg. 200,
A000372-dublin,A000372,100 S. Church St.,,Dublin,GA,31021,32.5383565,-82.9084154,478-272-4030,478-277-0113,,
A000372-statesboro,A000372,50 E. Main St.,,Statesboro,GA,30458,32.4484951,-81.781533,912-243-9452,912-243-9453,,
A000372-vidalia,A000372,107 Old Airport Rd.,Suite A,Vidalia,GA,30475,32.2046881,-82.37632649999999,912-403-3311,,,
A000375-abilene,A000375,500 Chestnut St.,Suite 819,Abilene,TX,79602,32.4443053,-99.73461449999999,325-675-9779,325-675-5038,,
A000375-lubbock,A000375,1312 Texas Ave.,Suite 219,Lubbock,TX,79401,33.5830588,-101.8456125,806-763-1611,806-767-9168,,
A000376-richardson,A000376,100 North Central Expressway,Suite 602,Richardson,TX,75080-5332,32.95034,-96.73449,972-972-7949,888-671-0539,,
A000377-bismarck,A000377,220 E Rosser Ave,Suite 228,Bismarck,ND,58501-3869,46.80868,-100.78881,701-354-6700,,U.S. Federal Building,
A000377-fargo,A000377,3217 Fiechtner Dr S,D,Fargo,ND,58103-8735,46.86533,-96.83182,701-353-6665,,,
A000378-council_bluffs,A000378,501 5th Ave,,Council Bluffs,IA,51503-0902,41.25685,-95.85104,712-890-3117,,,
A000378-creston,A000378,208 W Taylor St,,Creston,IA,50801-3766,41.04909,-94.36326,202-225-5476,,,
A000378-des_moines,A000378,400 E Court Ave,Suite 346,Des Moines,IA,50309-2017,41.58781,-93.6113,202-225-5476,,,
B000490-albany,B000490,323 Pine Ave,400,Albany,GA,31701-2596,31.57858,-84.1542,229-439-8067,229-436-2099,,M-F 9-5:30pm
B000490-columbus,B000490,18 Ninth St.,Suite 201,Columbus,GA,31901,32.4625755,-84.9922596,706-320-9477,706-320-9479,,Mon-Fri 9-5:30pm
B000490-macon,B000490,300 Mulberry Street,Suite 502,Macon,GA,31201,32.8356646,-83.6267623,478-803-2631,478-803-2637,,Mon-Fri 9am-5:30pm
B000574-portland,B000574,911 N.E. 11th Ave.,Suite 200,Portland,OR,97232,45.5293348,-122.6555902,503-231-2300,503-230-5413,,
B000575-cape_girardeau,B000575,338 Broadway,Suite 303,Cape Girardeau,MO,63701,37.3064303,-89.5241403,573-334-7044,,,
B000575-columbia,B000575,1123 Wilkes Blvd,Suite 320,Columbia,MO,65201,38.9606243,-92.3229127,573-442-8151,,,
B000575-kansas_city,B000575,1000 Walnut St.,Suite 1560,Kansas City,MO,64106,39.1021449,-94.5825038,816-471-7141,,,
B000575-saint_louis,B000575,111 S 10th St,23.305,Saint Louis,MO,63102-1125,38.62588,-90.196,314-725-4484,,Thomas F. Eagleton U.S. Courthouse,
B000575-springfield,B000575,2740 B E. Sunshine,,Springfield,MO,65804,37.180415,-93.240439,417-877-7814,,,
B000755-conroe,B000755,200 River Pt.,Suite 304,Conroe,TX,77304,30.2844625,-95.4613914,936-441-5700,936-441-5757,,
B000755-huntsville,B000755,1300 11th St.,Suite 400,Huntsville,TX,77340,30.7240052,-95.5535049,936-439-9532,936-439-9546,,
