id,legislator_id,twitter,facebook,youtube_id,twitter_id,youtube,instagram,instagram_id
A000055,A000055,Robert_Aderholt,RobertAderholt,UC71CAgpg1gbLTew_pfTneGA,76452765,RobertAderholt,,
A000148,A000148,RepAuchincloss,,,1330278736554582016,,,
A000369,A000369,MarkAmodeiNV2,MarkAmodeiNV2,UCjOGx2iqSn1r3BQxaVgYhYw,402719755,markamodeinv2,MarkAmodeiNV2,
A000370,A000370,RepAdams,CongresswomanAdams,UCPI9ao1Cr1nxEUD2r-usRjQ,2916086925,,repadams,
A000371,A000371,RepPeteAguilar,reppeteaguilar,UCxwbFLOlKDsXrwizV5jah7g,3018670151,,,
A000372,A000372,RepRickAllen,CongressmanRickAllen,UCZPoYXHFDAV17BGLMzGAmpg,2964287128,,Rep_RickAllen,1666787116
A000375,A000375,RepArrington,JodeyArrington,,816284664658874368,,repjodeyarrington,
A000376,A000376,RepColinAllred,,,1078355119920562176,,,
A000377,A000377,RepArmstrongND,,,1080515866255593472,,,
A000378,A000378,RepCindyAxne,,,1080865917377097728,,,
B000490,B000490,SanfordBishop,sanfordbishop,UCxF9veLBrkr_CqVq5eFYVGg,249410485,RepSanfordBishop,,
B000574,B000574,BlumenauerMedia,,UCuziVoKuGn7feNA5VrpxsBQ,137823987,RepBlumenauer,,
B000575,B000575,RoyBlunt,SenatorBlunt,UCFeLRzjhThTmaWzuh5qjpGA,21269970,SenatorBlunt,royblunt,21185436
B000668,B000668,RepBentz,,,1345788865911656454,,,
B000740,B000740,RepBice,,,1344260196227555334,,,
B000755,B000755,RepKevinBrady,kevinbrady,UC6Ng0uMQEBVgXO_HF0NbfXA,19926675,KBrady8,repkevinbrady,337613850
B000825,B000825,RepBoebert,,,1342989756611907584,,,
B000944,B000944,SenSherrodBrown,SenatorSherrodBrown,UCgy8jfERh-t_ixkKKoCmglQ,43910797,SherrodBrownOhio,,
B001135,B001135,SenatorBurr,SenatorRichardBurr,UCOLLZpp-1womBSFDV2uLfag,21157904,SenatorRichardBurr,senatorburr,
B001223,B001223,RepBowman,,,1344389506963808264,,,
B001224,B001224,RepCori,,,1002630999052865536,,,
B001230,B001230,SenatorBaldwin,senatortammybaldwin,UC_XjYCRbbI2_TDDjJidwk0Q,1074518754,witammybaldwin,senatorbaldwin,
B001236,B001236,JohnBoozman,JohnBoozman,UC9vWHKL5OfIYh6kIV0rF2yw,5558312,BoozmanPressOffice,johnboozman,
B001243,B001243,MarshaBlackburn,marshablackburn,UCvNnmu5mUm7xr8QXBlbtQ9w,278145569,RepMarshaBlackburn,marshablackburn,
B001248,B001248,MichaelCBurgess,michaelcburgess,UCvvO8lo-Nkc31cEEElqQvQw,15751083,michaelcburgessmd,repmichaelburgess,
B001251,B001251,GKButterfield,congressmangkbutterfield,UCbodCVgLfcbaep49L1M-mqA,432676344,GKBNC01,,
B001257,B001257,RepGusBilirakis,GusBilirakis,UC2z1uu1n4-60xXs5x1mvLJw,26051676,RepGusBilirakis,gusbilirakis,
B001260,B001260,VernBuchanan,CongressmanBuchanan,UCY4DEy41NxOTdcF8_XAVZvw,20467163,vernbuchanan,repvern,344865327
